title,title_name,make,modelname,modelnameq,modelno,modelnoq
"2012 HAWKER 900XP - 234 HOURS","Hawker Siddeley 900XP","Hawker Siddeley",NULL,NULL,900,900XP
"1993 747-400 PAX","Boeing 747-400",Boeing,NULL,NULL,747,747-400
"Eurocopter BK-117C1","Eurocopter BK 117C1",Eurocopter,NULL,NULL,"BK 117","BK 117C1"
NULL,"Cessna 152-II",Cessna,NULL,NULL,NULL,NULL
"2006 Bell 412EP","Bell 412EP",Bell,NULL,NULL,412,412EP
"2013 de Havilland Viking DHC-6-400 Twin Otter","de Havilland DHC-6-400 Twin Otter","de Havilland",Otter,NULL,DHC-6,DHC-6-400
NULL,"Cessna 310Q",Cessna,NULL,NULL,310,310Q
"2013 de Havilland Viking DHC-6-400 Twin Otter","de Havilland DHC-6-400 Twin Otter","de Havilland",Otter,NULL,DHC-6,DHC-6-400
"1972 CESSNA 172L SKYHAWK","Cessna 172L Skyhawk",Cessna,Skyhawk,NULL,172,172L
"tail wheel","Pipistrel Sinus",Pipistrel,Sinus,NULL,NULL,NULL
NULL,"Bombardier CL-600 Challenger 600",Bombardier,Challenger,NULL,CL-600,NULL
"R22 Beta","Robinson R-22 Beta",Robinson,Beta,NULL,R-22,NULL
"Yakovlev YAK-42D VIP","Yakovlev YAK-42D",Yakovlev,NULL,NULL,YAK-42,YAK-42D
"brandnew - still in production","Airbus A320-214",Airbus,NULL,NULL,A320,A320-214
"1979 Piper Navajo","Piper PA-31 Navajo",Piper,Navajo,NULL,PA-31,NULL
NULL,"Hawker Siddeley 125-800XP",Raytheon,NULL,NULL,125,125-800XP
"B737-400 YOM 1996 FOR DRY LEASE","Boeing 737-400",Boeing,NULL,NULL,737,737-400
"Robinson R-44 Raven I","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"Robinson R22 Beta II for sale","Robinson R-22 Beta II",Robinson,Beta,NULL,R-22,NULL
"2012 EC 120B","Eurocopter EC 120B Colibri",Eurocopter,Colibri,NULL,"EC 120","EC 120B"
"SD -d soloy conversion LTS 101-700","Eurocopter AS 350B2 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B2"
"Recent 12 year inspection","Eurocopter AS 350B2 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B2"
"1936 DH 82A","de Havilland DH-82A Tiger Moth","de Havilland",Moth,NULL,DH-82,DH-82A
"Agusta Helicopter for Sale at a Bargain Price","Agusta AW119 Ke",Agusta,NULL,NULL,NULL,NULL
"Aircraft Available for ACMI","Boeing 757-200",Boeing,NULL,NULL,757,757-200
NULL,"Cessna 525 Citation CJ3",Cessna,Citation,NULL,5??,525
NULL,"IaI 1125 Astra SPX",IaI,Astra,NULL,1125,NULL
"Low Time Caravan 208B Grand","Cessna 208B Grand Caravan",Cessna,Caravan,NULL,208,208B
"Low time Ba for sale","Eurocopter AS 350BA Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350BA"
"Low time ba for sale","Eurocopter AS 350BA Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350BA"
NULL,"Eurocopter AS 350B2 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B2"
"Agusta for Sale at a Bargain Price","Agusta AW119 Ke",Agusta,NULL,NULL,A119,"AW119 Ke"
"Diamond Aircraft in Perfect Condition","Diamond Aircraft DA42 TDI TwinStar","Diamond Aircraft",Star,NULL,DA42,"DA42 TDI"
"these N-NUMBERS are available for transfer -  N24LJ   -   N40LJ  -  N45XR   -  N60XR  -  N70LR  -  N70XR  -  N85LR  and more",Learjet,Learjet,NULL,NULL,NULL,NULL
"Robinson Authorized Dealer","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"Custom Citation Jet N-numbers  -  N501CJ  -  N525CC  -  N550CJ  -  N551CJ  -  N560CS  -  N650XL  -  N680CC  -  N750X - all available for transfer","Cessna 525 CitationJet",Cessna,Citation,NULL,5??,525
"Very nice R22 Beta II for sale","Robinson R-22 Beta II",Robinson,Beta,NULL,R-22,NULL
"Very nice R22 Beta II for sale","Robinson R-22 Beta II",Robinson,Beta,NULL,R-22,NULL
"1975 Beech Baron B55","Beech 95-B55 Baron",Beech,Baron,NULL,5?,95-B55
"EC 130 in tour configuration","Eurocopter EC 130-B4",Eurocopter,NULL,NULL,"EC 130","EC 130-B4"
"Beta II - Changed engine PERFECT CONDITIONS","Robinson R-22 Beta II",Robinson,Beta,NULL,R-22,NULL
"1977 Cessna 182Q Motivated Seller","Cessna 182Q Skylane",Cessna,Skylane,NULL,182,182Q
NULL,"Pegasus Aviation Quik GTR","Pegasus Aviation",Quik,NULL,NULL,NULL
"Straton D-9 Ultralight Motor Glider Prototype","Straton D8 Moby Dick",Straton,"Moby Dick",NULL,D8,NULL
"Low time Saratoga II TC with recent engine!","Piper PA-32R-301T Saratoga II-TC",Piper,Saratoga,NULL,PA-32,PA-32R-301T
"Cessna Citation Ultra","Cessna 560 Citation Ultra",Cessna,Citation,NULL,5??,560
"Beech King Air E90","Beech E90 King Air",Beech,"King Air",NULL,90,E90
"Cessna Citation CJ 525","Cessna 525 Citation CJ1",Cessna,Citation,NULL,5??,525
"Beech King Air F90","Beech F90 King Air",Beech,"King Air",NULL,90,F90
"Cherokee 140","Piper PA-28-140 Cherokee",Piper,Cherokee,NULL,PA-28,PA-28-140
"1970 Baron 58","Beech 58 Baron",Beech,Baron,NULL,5?,58
"2000 Challenger 604","Bombardier CL-604 Challenger 604",Bombardier,Challenger,NULL,CL-604,NULL
"Motivated Seller - Contact Today!","Hawker Siddeley 125-700A",BAe,NULL,NULL,125,125-700A
"MANUFACTURING LICENSE FOR AIRCRAFT","Supapup Light Aircraft Supapup","Supapup Light Aircraft",Supapup,NULL,NULL,NULL
"Pitts Special S2B after a complete overhaul","Pitts S2-B Special",Pitts,Special,NULL,S2,S2-B
"1997 Learjet 31A ER","Learjet 31A-ER",Learjet,NULL,NULL,30,31A-ER
"2001 Learjet 31A","Learjet 31A",Learjet,NULL,NULL,30,31A
"2010 Agusta A109E Power","Agusta A109E Power",Agusta,Power,NULL,A109,A109E
"2010 Eurocopter AS 350B","Eurocopter AS 350B3 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3"
"2008 Eurocopter AS 350B3","Eurocopter AS 350B3 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3"
"1985 Hawker 800","Hawker Siddeley 125-800",BAe,NULL,NULL,125,125-800
"condition like new, allways hangared, no damage","Aviat Aircraft Inc. A-1B","Aviat Aircraft Inc.",NULL,NULL,A-1,A-1B
"Beautiful Challenger 300 – Immaculate, Pristine Condition!","Bombardier Challenger 300",Bombardier,Challenger,NULL,NULL,NULL
"2003 Beechcraft Premier 1","Raytheon Premier I",Raytheon,Premier,NULL,NULL,NULL
"Helikopter Enstrom FH280 Shark","Enstrom F-280FX Shark",Enstrom,Shark,NULL,F-280,F-280FX
"201 3 Cameron A-210","Cameron Balloons A-210 Complete System","Cameron Balloons","Complete System",NULL,A-210,NULL
"FABRIC AIRCRAFT RESTORATION AND REPAIR",Stearman,Stearman,NULL,NULL,NULL,NULL
"1960 Cessna 172A","Cessna 172A",Cessna,NULL,NULL,172,172A
"Beautiful 2006 Sovereign - DEAL PENDING","Cessna 680 Citation Sovereign",Cessna,Citation,NULL,5??,680
"Price Reduction!  Low Time, Excellent Condition, Utility Config.","Eurocopter EC 130-B4",Eurocopter,NULL,NULL,"EC 130","EC 130-B4"
"500D for sale or lease","McDonnell Douglas MD-500D","McDonnell Douglas",NULL,NULL,NULL,NULL
"MD-530 F","McDonnell Douglas MD-530F","McDonnell Douglas",NULL,NULL,MD-530,MD-530F
NULL,"Cessna 650 Citation VII",Cessna,Citation,NULL,5??,650
"206B-3 FOR LEASE","Bell 206B3 JetRanger III",Bell,JetRanger,NULL,206,206B3
"New Airbus A320-214  (Single or Multi Units Available)","Airbus A320-214",Airbus,NULL,NULL,A320,A320-214
"'67 Executive 21 M20F","Mooney M20F",Mooney,NULL,NULL,NULL,NULL
"CESSNA 180 FLOATPLANE","Cessna 180 Skywagon",Cessna,Skywagon,NULL,180,NULL
NULL,"A.V.I.A. FL-3",A.V.I.A.,NULL,NULL,NULL,NULL
"Economical, Light, Full Utility","Bell 206B3 JetRanger III",Bell,JetRanger,NULL,206,206B3
NULL,"Agusta A109E",Agusta,NULL,NULL,A109,A109E
NULL,"Learjet 60-XR",Learjet,NULL,NULL,60,60-XR
"SAAB SF340A MSN: 065","Saab 340A-QC",Saab,NULL,NULL,340,340A-QC
"SPECIAL Promotion: BETA II Excellent Condition.","Robinson R-22 Beta II",Robinson,Beta,NULL,R-22,NULL
"SAAB SF340A MSN:135","Saab 340A-QC",Saab,NULL,NULL,340,340A-QC
NULL,"Evektor EV-97 Eurostar",Evektor,Eurostar,NULL,EV-97,NULL
NULL,"McDonnell Douglas MD-80-83","McDonnell Douglas",NULL,NULL,MD-80,MD-80-83
"Discounted $100K for quick sale.","Gulfstream GII/B",Gulfstream,NULL,NULL,GII,GII/B
"Robinson R66 Turbine","Robinson R-66",Robinson,NULL,NULL,R-66,NULL
"2005 SR22-G2 with 10 year items completed!","Cirrus SR-22G2 GTS",Cirrus,NULL,NULL,SR-22,"SR-22G2 GTS"
NULL,"Robinson Raven II",Robinson,NULL,NULL,NULL,NULL
"1979 Seneca II For parts!","Piper PA-34 Seneca II",Piper,Seneca,NULL,PA-34,NULL
"Robinson R22 Beta","Robinson R-22 Beta",Robinson,Beta,NULL,R-22,NULL
NULL,"Boeing 737-529",Boeing,NULL,NULL,NULL,NULL
"Van's RV-6 160 HP O-320 For Sale","Vans RV-6",Vans,NULL,NULL,RV-6,NULL
"Brand New Bell 429 Year 2014 for delivery","Bell 429",Bell,NULL,NULL,429,NULL
"2008 Robinson R44 Raven I","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"1967 Sikorsky S61-L for Sale","Sikorsky S-61L",Sikorsky,NULL,NULL,61,S-61L
"1972 Sikorsky S61-N for Sale","Sikorsky S-61N",Sikorsky,NULL,NULL,61,S-61N
"1974 Bell 212 for sale","Bell 212",Bell,NULL,NULL,212,NULL
"1975 Sikorsky S61-N for Sale","Sikorsky S-61N",Sikorsky,NULL,NULL,61,S-61N
"1976 Bell 212 for Lease","Bell 212",Bell,NULL,NULL,212,NULL
"1980 Bell 212HP for Sale or Lease",Bell,Bell,NULL,NULL,NULL,NULL
"Best VFR Bell 212 Available for sale","Bell 212",Bell,NULL,NULL,212,NULL
"1980 SIKORSKY S-76A For Sale","Sikorsky S-76A",Sikorsky,NULL,NULL,S-76,S-76A
"1980 Sikorsky S76A Part Out Machine For Sale","Sikorsky S-76A",Sikorsky,NULL,NULL,S-76,S-76A
"1981  Bell 206L-1 C30P For Sale","Bell 206L1+ LongRanger III",Bell,LongRanger,NULL,206,206L1+
"1981  Bell 206L-3 For Sale","Bell 206L3 LongRanger III",Bell,LongRanger,NULL,206,206L3
"Bell 206L-1 C30P For Sale","Bell 206L1+ LongRanger III",Bell,LongRanger,NULL,206,206L1+
"1981 Bell 212 Helicopter for Sale","Bell 212",Bell,NULL,NULL,212,NULL
"1981 SIKORSKY S-76A For Sale","Sikorsky S-76A",Sikorsky,NULL,NULL,S-76,S-76A
"1981  Bell 206L-1 C30P For Sale","Bell 206L1+ LongRanger III",Bell,LongRanger,NULL,206,206L1+
"1984 Sikorsky S-76A for Sale","Sikorsky S-76A",Sikorsky,NULL,NULL,S-76,S-76A
"1986 Eurocopter SA 365N for Sale or Lease","Eurocopter AS 365N Dauphin II",Eurocopter,Dauphin,NULL,"AS 365","AS 365N"
"1988 Bell 206L-3 for Sale","Bell 206L3 LongRanger III",Bell,LongRanger,NULL,206,206L3
NULL,"Mooney M20J 201",Mooney,NULL,NULL,M20,"M20J 201"
"Brandnew Airbus 330-200 for sale","Airbus A330-200",Airbus,NULL,NULL,A330,A330-200
"SR22 G3 GTS Turbo "X-Edition"","Cirrus SR-22G3 GTS Turbo X-Edition",Cirrus,X-Edition,NULL,SR-22,"SR-22G3 GTS Turbo"
"2010 AW139 for sale","Agusta AW139",Agusta,NULL,NULL,A139,AW139
"2003 Eurocopter BK 117C1 for Sale","Eurocopter BK 117C1",Eurocopter,NULL,NULL,"BK 117","BK 117C1"
"2005 Eurocopter EC135P2 for Sale or Lease","Eurocopter EC 135P2",Eurocopter,NULL,NULL,"EC 135","EC 135P2"
"2006 Eurocopter EC135P2+ for Sale","Eurocopter EC 135P2+",Eurocopter,NULL,NULL,"EC 135","EC 135P2+"
"2003 Eurocopter EC155B1 for Sale","Eurocopter EC 155B1",Eurocopter,NULL,NULL,"EC 155","EC 155B1"
"1991 Mil Mi-8MTV-1 for Lease","Mil MI-8MTV-1",Mil,NULL,NULL,MI-8,MI-8MTV-1
"1999 Sikorsky S-76C+ for Lease","Sikorsky S-76C",Sikorsky,NULL,NULL,S-76,S-76C
"2003 Eurocopter AS 365N2 for Sale","Eurocopter AS 365N2 Dauphin II",Eurocopter,Dauphin,NULL,"AS 365","AS 365N2"
"2004 Eurocopter AS 365N3 for Sale","Eurocopter AS 365N3 Dauphin II",Eurocopter,Dauphin,NULL,"AS 365","AS 365N3"
"1988 Eurocopter AS 350BA for Sale","Eurocopter AS 350BA Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350BA"
"2007 Bell 412EP for Sale * Under Offer *","Bell 412EP",Bell,NULL,NULL,412,412EP
"1991 Bell 412HP for Sale or Lease",Bell,Bell,NULL,NULL,NULL,NULL
"1988 Bell 412SP for Sale","Bell 412SP",Bell,NULL,NULL,412,412SP
"1995 Bell 230 for sale","Bell 230",Bell,NULL,NULL,230,NULL
NULL,"Cessna 182T Skylane",Cessna,Skylane,NULL,182,182T
"New Listing!  1999 AS350B3","Eurocopter AS 350B3 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3"
"Bell  407 For Lease Immediately","Bell 407",Bell,NULL,NULL,407,NULL
NULL,"Diamond Aircraft DA20-A1","Diamond Aircraft",NULL,NULL,NULL,NULL
NULL,"Diamond Aircraft DA20-A1 Katana","Diamond Aircraft",Katana,NULL,DA20,DA20-A1
NULL,"Diamond Aircraft DA20-A1 Katana","Diamond Aircraft",Katana,NULL,DA20,DA20-A1
NULL,"Diamond Aircraft DA20-A1 Katana","Diamond Aircraft",Katana,NULL,DA20,DA20-A1
NULL,"Diamond Aircraft DA20-A1 Katana","Diamond Aircraft",Katana,NULL,DA20,DA20-A1
"Comanche 180 w/ 300 SMOH","Piper PA-24-180 Comanche",Piper,Comanche,NULL,PA-24,PA-24-180
"127 SMOH  150 HP","Piper PA-28-140 Cherokee",Piper,Cherokee,NULL,PA-28,PA-28-140
"4200TT  452 SMOH Dry Climate 235","Piper PA-28-235B Cherokee",Piper,Cherokee,NULL,PA-28,PA-28-235B
"A Beautiful Turbo Lance II","Piper PA-32R-300T Lance II",Piper,Lance,NULL,PA-32,PA-32R-300T
"2008 Beech B200GT","Beech B200GT King Air",Beech,"King Air",NULL,200,B200GT
"For Sale","Piper PiperSport",Piper,PiperSport,NULL,NULL,NULL
"Eurocopter Fleet",Eurocopter,Eurocopter,NULL,NULL,"EC 135","EC 135T1"
"Antonov-12BK 1972 for Sale/ACMI/charter","Antonov An-12BK Cub",Antonov,Cub,NULL,An-12,An-12BK
NULL,"Pipistrel Virus SW",Pipistrel,Virus,NULL,NULL,NULL
NULL,"Bell 407",Bell,NULL,NULL,407,NULL
"New Super-lite Decathlons Avialable","American Champion 8KCAB Super Decathlon","American Champion","Super Decathlon",NULL,8KCAB,NULL
"New 210HP Xtreme Decathlon","American Champion 8KCAB Super Decathlon","American Champion","Super Decathlon",NULL,8KCAB,NULL
"2001 Eurocopter AS350B3 For Sale","Eurocopter AS 350B3 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3"
"PARTING OUT DAMAGED 2009 EC120B 607 TT","Eurocopter EC 120B Colibri",Eurocopter,Colibri,NULL,"EC 120","EC 120B"
NULL,"Boeing 757-200",Boeing,NULL,NULL,NULL,NULL
"Piper PA-28 for sale","Piper PA-28-140 Cherokee",Piper,Cherokee,NULL,PA-28,PA-28-140
"Bankruptcy Auction","Piper PA-28-151 Warrior",Piper,Cherokee,NULL,PA-28,PA-28-151
NULL,"TL-Ultralight Sting S4",TL-Ultralight,Sting,NULL,NULL,NULL
RV6A,"Vans RV-6A",Vans,NULL,NULL,RV-6,RV-6A
"1941 ERCOUPE 415-C SN56","Engineering & Research Corp. 415-C Ercoupe","Engineering & Research Corp.",Ercoupe,NULL,415,415-C
"1991 Mil Mi-8MTV-1 for Lease","Mil MI-8MTV-1",Mil,NULL,NULL,MI-8,MI-8MTV-1
"1959 CESSNA SKYLARK","Cessna 175 Skylark",Cessna,Skylark,NULL,175,NULL
NULL,"Gulfstream G550",Gulfstream,NULL,NULL,G550,NULL
"Currently Under Contract","Grumman AA1A",Grumman,NULL,NULL,AA1,AA1A
Pathmaker,"Ekolot JK-05 Junior",Ekolot,Junior,NULL,JK-05,NULL
"1999 McDonnell Douglas MD83 For Sale.","McDonnell Douglas MD-80-83","McDonnell Douglas",NULL,NULL,NULL,NULL
"Grab a Deal Contract Ended AIRCRAFT MUST GO","Cessna 501 Citation I/SP",Cessna,Citation,NULL,5??,501
"Low hours, excellent condition","Cirrus SR-22G2 Turbo SE",Cirrus,NULL,NULL,SR-22,"SR-22G2 Turbo SE"
"Challenger II AULA","Quad City Challenger II","Quad City",Challenger,NULL,NULL,NULL
"2005 Eurocopter AS365N3 for Sale","Eurocopter AS 365N3 Dauphin II",Eurocopter,Dauphin,NULL,"AS 365","AS 365N3"
"2007 AgustaWestland AW139 for sale","Agusta AW139",Agusta,NULL,NULL,A139,AW139
"1988 Bell 412SP for Sale","Bell 412SP",Bell,NULL,NULL,412,412SP
"Boss say's let's sell it - make offer.","Diamond Aircraft DA40-180 Star","Diamond Aircraft",Star,NULL,DA40,DA40-180
"EXCLUSIVE VERSACE GRAND FOR SALE","Agusta AW109S Grand",Agusta,Grand,NULL,A109,AW109S
"FOR SALE BY OWNER","Diamond Aircraft DA40-180 Star","Diamond Aircraft",Star,NULL,DA40,DA40-180
"Low time Metro 23 for sale!","Fairchild Swearingen Metro 23","Fairchild Swearingen",Metro,NULL,NULL,NULL
"Beechcraft 1900C cargo configured","Beech 1900C Airliner",Beech,Airliner,NULL,1900,1900C
NULL,"Learjet 35A",Learjet,NULL,NULL,30,35A
"Versatile cargo door King Air 200C","Beech 200C King Air",Beech,"King Air",NULL,200,200C
NULL,"A.V.I.A. FL-3",A.V.I.A.,NULL,NULL,FL-3,NULL
"2010 ROBINSON R44 RAVEN I","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"2008 ROBINSON R44 RAVEN II","Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
"For Sale","Eurocopter EC 130-B4",Eurocopter,NULL,NULL,"EC 130","EC 130-B4"
"Lear 55 - 089 For Sale - MSP, TCAS II, RVSM","Learjet 55",Learjet,NULL,NULL,55,NULL
"MOTIVATED SELLER - Make an Offer!","Cessna Citation CJ",Cessna,Citation,NULL,NULL,NULL
"Great Value!","Cessna 180 Skywagon",Cessna,Skywagon,NULL,180,NULL
"Pezetel 1,000 HP!","de Havilland DHC-3 Otter","de Havilland",Otter,NULL,DHC-3,NULL
"Turbine Beaver","de Havilland DHC-2T Beaver`tp","de Havilland",Beaver,NULL,DHC-2,DHC-2T
"Great Looking Aircraft!","Cessna 182E Skylane",Cessna,Skylane,NULL,182,182E
"Great Value!","de Havilland DHC-2 Mk.I Beaver","de Havilland",Beaver,NULL,DHC-2,"DHC-2 Mk.I"
"Nice TU206G!","Cessna TU206G",Cessna,NULL,NULL,206,TU206G
"Piper Warrior 161","Piper PA-28-161 Warrior II",Piper,Cherokee,NULL,PA-28,PA-28-161
"Great Performer!) 470K","Stinson 108-3",Stinson,NULL,NULL,108,108-3
DCH2,"de Havilland DHC-2 Beaver","de Havilland",Beaver,NULL,DHC-2,NULL
"1990 Challenger 601-3A/ER","Bombardier CL-601-3A/ER Challenger 601",Bombardier,Challenger,NULL,CL-601,CL-601-3A/ER
"Exclusively offered for sale","Agusta A109A II",Agusta,NULL,NULL,A109,"A109A II"
"Exclusively offered for sale","Enstrom F-480B",Enstrom,NULL,NULL,F-480,F-480B
"For sale","Bell 412SP",Bell,NULL,NULL,412,412SP
"For Sale",Bell,Bell,NULL,NULL,NULL,NULL
"2008 Robinson R44 Raven II","Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
"Drastically Reduced MUST SELL","Schweizer 300CB",Schweizer,NULL,NULL,300,300CB
"1990 BELL 206 LONG RANGER III FOR SALE - FULL OFFSHORE KIT AND PART 135 READY","Bell 206L3",Bell,NULL,NULL,NULL,NULL
"1990 BELL 206 LONG RANGER III FOR SALE - FULL OFFSHORE KIT AND PART 135 READY","Bell 206L3 LongRanger III",Bell,LongRanger,NULL,206,206L3
"EMBRAER ERJ-145LR based in Brazil","Embraer ERJ-145LR",Embraer,NULL,NULL,ERJ-145,ERJ-145LR
NULL,"Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
"1981 Sikorsky S-76A++ for sale","Sikorsky S-76A++",Sikorsky,NULL,NULL,S-76,S-76A++
PAC750XL,"PAC NZ P-750 XL","PAC NZ",NULL,NULL,"P-750 XL",NULL
"R44 Raven II, Newscopter Equipment for sale","Robinson R-44 NewsCopter",Robinson,NewsCopter,NULL,R-44,NULL
"1980 Cessna 340A  -","Cessna 340A",Cessna,NULL,NULL,340,340A
"2009 Citation CJ1+","Cessna 525 Citation CJ1",Cessna,Citation,NULL,5??,525
"+7 916 945 45 15 Alexander","Eurocopter BK 117C1",Eurocopter,NULL,NULL,"BK 117","BK 117C1"
PAC750XL,"PAC NZ P-750 XL","PAC NZ",NULL,NULL,"P-750 XL",NULL
"1998 Beechjet 400A - Make an Offer!","Beech 400A Beechjet",Beech,Beechjet,NULL,400,400A
"save, smart,  fast business aircraft for sale","Aerostar 600",Aerostar,NULL,NULL,600,NULL
"Queen Air Excalibur 800","Beech 65 Queen Air Excalibur 800",Beech,"Queen Air",NULL,6?,65
Serviceable,"Eurocopter SA 315B Lama",Eurocopter,Alouette,NULL,"SA 315B",NULL
"Bell 47G-3B1 for sale","Bell 47G-3B1",Bell,NULL,NULL,47,47G-3B1
"PIPER ARROW FOR LEASE","Piper PA-28R Arrow",Piper,Arrow,NULL,PA-28,PA-28R
"Hiller UH-12E Soloy","Hiller UH-12ET Soloy Conversion",Hiller,"Soloy Conversion",NULL,UH-12,UH-12ET
"Aircraft available for immediate sale","Fokker 50",Fokker,NULL,NULL,50,NULL
"Citation III priced for Quick Sale!","Cessna 650 Citation III",Cessna,Citation,NULL,5??,650
"similar aircraft available off market. N reg","Piper PA-46R-350T Matrix",Piper,Malibu,NULL,PA-46,PA-46R-350T
NULL,"Dassault 2000",Dassault,NULL,NULL,2000,NULL
"REDUCED BELOW WHOLESALE -Well Maintained, Well Equipped, Ready To GO","Bell 206B3 JetRanger III",Bell,JetRanger,NULL,206,206B3
"Commander 114B 1993","Commander 114B",Commander,NULL,NULL,114,114B
NULL,"Cessna 550 Citation Bravo",Cessna,Citation,NULL,5??,550
"Dakota  priced to sell","Piper PA-28-236 Dakota",Piper,Cherokee,NULL,PA-28,PA-28-236
"Newly Priced 2004 Gulfstream G200","Gulfstream G200",Gulfstream,NULL,NULL,G200,NULL
"1982  HS 125-700A - Motivated Seller!","Hawker Siddeley 125-700A",BAe,NULL,NULL,125,125-700A
"AWARD WINNER","Zenair CH-601 XL-B",Zenair,NULL,NULL,NULL,NULL
NULL,"Aces High Dragonfly","Adventure S.A.",Dragonfly,NULL,NULL,NULL
"Current Operation","ATR 42-320",ATR,NULL,NULL,42,42-320
"Current Operation","ATR 72-212",ATR,NULL,NULL,72,72-212
NULL,"Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
"Legacy 600 for sale - Motivated Seller, Make an Offer!","Embraer Legacy 600",Embraer,Legacy,NULL,NULL,NULL
"1955 MiG includes a Spare Engine!","MiG 15UTi",MiG,NULL,NULL,15,15UTi
"512SMOH on a Factory Reman.","Cessna 182C Skylane",Cessna,Skylane,NULL,182,182C
NULL,"Beech 58P Baron",Beech,Baron,NULL,5?,58P
"Helio courier float plane","Helio H-295 Courier",Helio,Courier,NULL,U-10,H-295
NULL,"Eurocopter AS 350FX Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350FX"
"Zenair CH-601XL-B - Multi Award Winner!","Zenair CH-601 XL-B Zodiac",Zenair,Zodiac,NULL,CH-601,"CH-601 XL-B"
HUGHES/SCHWEIZER,"Hughes 269C",Hughes,NULL,NULL,269,269C
"Late model AS 350BA","Eurocopter AS 350BA Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350BA"
"ATEC Z 2000","Atec v.o.s. Zephyr 2000","Atec v.o.s.","Zephyr 2000",NULL,NULL,NULL
"Beech Bonanza A36","Beech A36 Bonanza",Beech,Bonanza,NULL,3?,A36
"Robinson R-$$ Raven II","Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
"1978 Gazelle SA 341 g Civilian Model","Eurocopter SA 341G Gazelle",Eurocopter,Gazelle,NULL,"SA 341","SA 341G"
"Low Time 1976 601P","Aerostar 601P",Aerostar,NULL,NULL,601,601P
"1974 PIPER ARCHER PA-28-180 CHEROKEE 180","Piper PA-28-180 Archer",Piper,Archer,NULL,PA-28,PA-28-180
"1956 CONVAIR 580","Convair CV-580",Convair,NULL,NULL,CV-580,NULL
"2010 Hawker 4000","Hawker Siddeley 4000",Beech,NULL,NULL,4000,NULL
"172S Nav II","Cessna 172S",Cessna,NULL,NULL,172,172S
"Great Skylane","Cessna 172S Skylane",Cessna,Skylane,NULL,172,172S
"Overhauled Raven I","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"Two C337 G for 45000 euros","Cessna 337G Skymaster",Cessna,Skymaster,NULL,337,337G
"Great Value!","Cirrus SR-20",Cirrus,NULL,NULL,SR-20,NULL
"LOVELY COMMANDER 114 FOR SALE","Commander 114",Commander,NULL,NULL,114,NULL
"FBA-2C4 for sale by Auction","Found Aircraft Bigfoot","Found Aircraft",NULL,NULL,NULL,NULL
"FBA-2C3 for sale by Auction","Found Aircraft FBA-2C2 Bush Hawk-XP","Found Aircraft","Bush Hawk",NULL,FBA-2C2,NULL
"2009 AgustaWestland A119 MKII Koala for Sale","Agusta AW119 Ke Koala",Agusta,Koala,NULL,A119,"AW119 Ke"
"DA42 NG with NEW Austro Diesel Engines","Diamond Aircraft DA42 NG TwinStar","Diamond Aircraft",Star,NULL,DA42,"DA42 NG"
NULL,"Diamond Aircraft DV20 Katana","Diamond Aircraft",Katana,NULL,DV20,NULL
"LOW TIME STEARMAN","Stearman PT-13D",Stearman,NULL,NULL,PT-13,PT-13D
"Robinson Raven R44","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
NULL,"IBIS Aircraft Magic GS 700","IBIS Aircraft",Magic,NULL,NULL,NULL
NULL,"Robinson R-66",Robinson,NULL,NULL,R-66,NULL
"Agusta A109MKII","Westland Ltd. Mk2","Westland Ltd.",NULL,NULL,Mk2,NULL
NULL,"Hughes 500C",Hughes,NULL,NULL,500,500C
NULL,"Robinson R-66",Robinson,NULL,NULL,R-66,NULL
"Agusta A109MKII","Westland Ltd. Mk2","Westland Ltd.",NULL,NULL,Mk2,NULL
NULL,"Robinson R-44",Robinson,NULL,NULL,R-44,NULL
NULL,"Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
NULL,"Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
